"date","a0009","a1019","a2029","a3039","a4049","a5059","a6069","a7079","a8089","a90"
2021-05-24,0,0.00010977337635889,0.0138917178538026,0.0125493627883433,0.00899855778654633,0.00658154821157257,0.018421276229684,0.00595630975166985,0.00719072815508624,0.0175999615276056
2021-05-25,0,0.000116562465599993,0.0143853716726714,0.0129994660806052,0.00937152992896139,0.00690508611449959,0.01935759777872,0.00653897423873209,0.00802813989202253,0.0191798868763835
2021-05-26,0,0.000123768710782049,0.0148951194835532,0.0134644478847536,0.00975919860591592,0.00724408059886784,0.0203394026382763,0.00717784599303704,0.0089612301956598,0.0208962328770463
2021-05-27,0,0.000131417738265849,0.0154214627269932,0.0139447812128366,0.0101621268588015,0.00759925472289238,0.0213687579863743,0.0078781901938794,0.0100004856042266,0.0227598069776236
2021-05-28,0,0.00013953674663565,0.0159649166448556,0.0144409526005755,0.0105808978346498,0.00797136375360641,0.0224478103415951,0.00864573360753783,0.0111574353667754,0.0247820988458692
2021-05-29,0,0.00014815460290031,0.016526010534808,0.0149534623888586,0.0110161153842141,0.00836119644214923,0.0235787871159967,0.00948669870316712,0.0124447297586935,0.0269752923276986
2021-05-30,0,0.000157301944548109,0.0171052880002517,0.0154828250033632,0.0114684046677104,0.00876957633350505,0.0247639980311468,0.0104078389939094,0.0138762180993191,0.0293522714059665
2021-05-31,0,0.000167011287807318,0.0177033071948125,0.0160295692315785,0.011938412767338,0.00919736310987986,0.0260058363745747,0.0114164753540438,0.0154670246534554,0.0319266189132068
2021-06-01,0,0.000177317142485183,0.0183206410604495,0.0165942384964457,0.0124268093055851,0.00964545396665627,0.0273067800720942,0.0125205329836243,0.0172336201404729,0.0347126066489403
2021-06-02,0,0.000188256133779814,0.0189578775581694,0.0171773911257704,0.0129342870682049,0.0101147850195915,0.0286693925495407,0.0137285785995697,0.0191938860625724,0.0377251754660537
2021-06-03,0,0.000199867131482426,0.0196156198902701,0.017779600616501,0.0134615626306176,0.0106063327416204,0.0300963233555154,0.0150498573256932,0.0213671685064085,0.040979903829725
2021-06-04,0,0.000212191387011645,0.0202944867129649,0.018401455892901,0.0140093769863553,0.0111211154272896,0.0315903085147641,0.0164943286331469,0.0237743174854179,0.0444929633257563
2021-06-05,0,0.000225272678747101,0.0209951123381686,0.0190435615575748,0.0145784961760168,0.0116601946824831,0.0331541705798326,0.0180727005471265,0.0264377072984794,0.0482810596132268
