"date","a0009","a1019","a2029","a3039","a4049","a5059","a6069","a7079","a8089","a90"
2021-04-04,0,2.58046617739603e-05,0.00480524624050576,0.0043234258662371,0.00288373831210029,0.00188844691793352,0.00513460493180885,0.000725610503400619,0.000609344966477512,0.00244527712395439
2021-04-05,0,2.76451627935322e-05,0.00505232639635719,0.00454669834461924,0.00304461269890601,0.00200480418866474,0.00545974805507799,0.000800243887934788,0.000682878306920091,0.00268268358096381
2021-04-06,0,2.95979611348475e-05,0.00530743063932938,0.00477730524130933,0.00321180281133686,0.00212671891124997,0.00580112746892633,0.000882232599459056,0.000765088798389236,0.00294187115247319
2021-04-07,0,3.16699614789872e-05,0.00557082254469995,0.00501549083096378,0.0033855593888177,0.00225445850580231,0.00615954737683957,0.000972299890404668,0.000856997406058343,0.00322481848707058
2021-04-08,0,3.3868492898993e-05,0.00584277390533396,0.00526150716488496,0.00356614285904798,0.00238830305358738,0.00653585000367569,0.00107123958584698,0.000959744331378502,0.00353367950011249
2021-04-09,0,3.62013349261842e-05,0.0061235649573649,0.00551561429348568,0.00375382369037847,0.00252854587587344,0.00693091720410785,0.00117992285698165,0.00107460271472229,0.00387079803982745
2021-04-10,0,3.86767452151104e-05,0.00641348460990655,0.00577808049332545,0.00394888275517306,0.00267549413718348,0.00734567211901369,0.00129930562135123,0.00120299385708678,0.00423872361513417
2021-04-11,0,4.13034889048835e-05,0.00671283067869981,0.00604918249867501,0.00415161170433961,0.00282946947376771,0.00778108087894809,0.00143043662294621,0.00134650411527324,0.00464022822928047
2021-04-12,0,4.40908697805696e-05,0.00702191012358112,0.0063292057375518,0.00436231335320172,0.00299080864811919,0.00823815435349563,0.00157446624877109,0.00150690363707467,0.00507832435805418
2021-04-13,0,4.70487633446178e-05,0.00734103928964089,0.00661844457215395,0.00458130207886859,0.00315986423035761,0.00871794994491825,0.00173265614192292,0.00168616711508775,0.00555628410395447
2021-04-14,0,5.01876519149697e-05,0.00767054415192074,0.00691720254360469,0.00480890422924392,0.00333700530730378,0.00922157342408877,0.00190638967460956,0.00188649674948667,0.00607765954795372
2021-04-15,0,5.35186618735673e-05,0.00801076056347686,0.00722579262090108,0.00504545854379622,0.00352261822006259,0.0097501808062295,0.00209718334775112,0.00211034762100551,0.00664630430788498
2021-04-16,0,5.70536031964625e-05,0.00836203450661454,0.00754453745394286,0.00529131658619133,0.00371710733092149,0.0103049802634528,0.00230669918675196,0.00236045568488813,0.00726639629656558
2021-04-17,0,6.08050114046714e-05,0.00872472234707434,0.00787376963049639,0.00554684318886468,0.00392089582035718,0.0108872340705239,0.0025367582055671,0.00263986860393006,0.00794246165296729
2021-04-18,0,6.47861920833221e-05,0.00909919109092459,0.00821383193692767,0.00581241690958371,0.00413442651492243,0.0114982605796324,0.00278935501314917,0.00295197964299921,0.00867939979547074
2021-04-19,0,6.90112681255509e-05,0.00948581864388737,0.00856507762251455,0.00608843050002116,0.0043581627467585,0.0121394362192612,0.0030666736375468,0.00330056484738414,0.00948250951685497
2021-04-20,0,7.3495229867033e-05,0.00988499407279559,0.00892787066712373,0.00637529138632702,0.00459258924544471,0.0128121975114843,0.0033711046430859,0.00368982372149249,0.0103575160054967
2021-04-21,0,7.82539882870223e-05,0.0102971178688474,0.00930258605201135,0.0066734221616499,0.00483821306285591,0.0135180431011884,0.00370526361490547,0.00412442361098174,0.011310598635593
2021-04-22,0,8.33044314623496e-05,0.0107226022122911,0.00968961003347751,0.006983261090518,0.00509556453164823,0.014258535789818,0.00407201108228564,0.00460954796813383,0.0123484193203887
2021-04-23,0,8.86644844720216e-05,0.0111618712381382,0.0100893404190747,0.00730526262494547,0.00536519825793448,0.0150353045652586,0.00447447394727964,0.00515094864452552,0.013478151165731
