date,comm,,,,work,house,obon
2021-11-18,-5,6,2,-14,-8,4,0
2021-11-19,-5,5,5,-13,-7,4,0
2021-11-20,-1,10,11,-7,-8,2,0
2021-11-21,-4,5,13,-8,-8,2,0
2021-11-22,-3,-1,-27,-16,-13,6,0
2021-11-23,19,11,28,-33,-57,17,0
2021-11-24,-6,5,-4,-14,-6,3,0
2021-11-25,-3,8,-2,-13,-7,4,0
2021-11-26,-5,6,-2,-14,-7,4,0
2021-11-27,-3,7,-7,-12,-8,4,0
2021-11-28,-3,8,5,-12,-6,2,0
2021-11-29,-4,5,-3,-14,-6,4,0
2021-11-30,-1,8,-6,-14,-5,4,0
