"date","a0009","a1019","a2029","a3039","a4049","a5059","a6069","a7079","a8089","a90"
2021-03-12,0,4.47365787052281e-06,0.00104035917479251,0.000911956609035697,0.000555606845038818,0.000314969228225038,0.000411199186697333,1.56774039357713e-05,7.50715184495327e-06,6.30915647360898e-05
2021-03-13,0,4.98590156005995e-06,0.00114531613651131,0.00100409234463601,0.000613329785485851,0.000348953570383671,0.000456130888869031,1.78185218769233e-05,8.62951080959702e-06,7.14632932918212e-05
2021-03-14,0,5.53952887595154e-06,0.0012567409193678,0.00110192527545938,0.000674857008712985,0.000385369945903197,0.00050436421453092,2.01961575029751e-05,9.89451386051836e-06,8.07170612973746e-05
2021-03-15,0,6.1370849693762e-06,0.00137485270513233,0.0012056503924022,0.000740342194679347,0.000424336677449664,0.000556068694344664,2.28337247315816e-05,1.13190541203976e-05,9.09347399781498e-05
2021-03-16,0,6.78127150999514e-06,0.00149987798496278,0.00131546926750801,0.000809945182314791,0.000465977819714807,0.000611422515920335,2.57569548147543e-05,1.29220251102546e-05,0.000102205793336224
2021-03-17,0,7.47495630981987e-06,0.00163205079495614,0.00143159026960545,0.000883832212284347,0.000510423434644557,0.000670612960804011,2.89941255849811e-05,1.47245575691868e-05,0.000114627981037239
2021-03-18,0,8.22118353863233e-06,0.00177161295871958,0.0015542287865564,0.000962176178984786,0.000557809879637733,0.000733836862987745,3.25763133578064e-05,1.67502842959298e-05,0.00012830812611874
2021-03-19,0,9.02318456729449e-06,0.00191881433712961,0.0016836074542845,0.0010451568920963,0.000608280109301537,0.00080130108994506,3.6537669725428e-05,1.90256363243318e-05,0.000143362953449916
2021-03-20,0,9.88438947751313e-06,0.00207391308544927,0.00181995639275634,0.00113296134802122,0.000661983991374542,0.000873223047235684,4.09157256952966e-05,2.15801741353984e-05,0.000159920005405767
2021-03-21,0,1.08084392789911e-05,0.00223717591797386,0.00196351344908916,0.00122578401155058,0.000719078637452619,0.000949831207764889,4.57517258684918e-05,2.44469580449736e-05,0.000178118641797991
2021-03-22,0,1.17991988774057e-05,0.00240887838037637,0.0021145244479607,0.00132382710810833,0.000779728749178725,0.00103136566682524,5.10909956168155e-05,2.76629623936683e-05,0.000198111131733779
2021-03-23,0,1.28508918196043e-05,0.00258640981800454,0.00227071189133296,0.00142583413752716,0.000843330738752141,0.0011170886690853,5.69588056097714e-05,3.12598206238517e-05,0.000219959157998938
2021-03-24,0,1.39661750105184e-05,0.00276964579095477,0.00243197164971132,0.00153180235108302,0.000909942049553609,0.00120710503489954,6.34047548920301e-05,3.52815557964623e-05,0.000243823216022497
2021-03-25,0,1.51489590315972e-05,0.00295877682666534,0.00259847514555327,0.00164189061208201,0.000979708500864963,0.00130163405244785,7.04860565011332e-05,3.97784744117689e-05,0.000269890202823168
2021-03-26,0,1.64033949131964e-05,0.0031539996130338,0.00277039943432126,0.00175626405511373,0.00105278291724834,0.00140090608478548,7.82655819431226e-05,4.48068372447598e-05,0.000298364303337195
2021-03-27,0,1.77338889141307e-05,0.00335551718349056,0.00294792737833739,0.00187509432535055,0.00112932545904566,0.00150516311592669,8.6812420124592e-05,5.04295635555549e-05,0.000329468582080753
2021-03-28,0,1.91451182090551e-05,0.00356353910663719,0.0031312478252055,0.00199855982629023,0.00120950396786617,0.00161465932245313,9.62024913494125e-05,5.6717018451818e-05,0.000363446719903447
2021-03-29,0,2.06420475393616e-05,0.00377828168048858,0.00332055579086178,0.00212684597618175,0.00129349432768062,0.00172966167169013,0.000106519221774729,6.37478931878048e-05,0.000400564908776847
2021-03-30,0,2.22299468866823e-05,0.00399996813135181,0.00351605264731072,0.00226014547337522,0.00138148084215997,0.00185045054751946,0.000117854284243029,7.16101893275637e-05,0.000441113918661593
2021-03-31,0,2.39144102317003e-05,0.00422882881736797,0.0037179463150988,0.00239865857083811,0.00147365662891554,0.00197732040492197,0.000130308411978529,8.04023189740459e-05,0.000485411351678582
2021-04-01,0,2.57013754648062e-05,0.00446510143673591,0.00392645146057278,0.00254259336008048,0.00157022403131637,0.00211058045436595,0.000143992292261151,9.02343346860316e-05,0.000533804100078208
2021-04-02,0,2.75971455191994e-05,0.00470903124062844,0.00414178969796389,0.00269216606473112,0.00167139504857825,0.0022505553771778,0.000159027547874707,0.000101229304286876,0.000586671025859939
2021-04-03,0,2.96084108013462e-05,0.00496087125080284,0.00436418979633259,0.0028476013440059,0.00177739178483663,0.00239758607304948,0.00017554781487256,0.000113524847530736,0.00064442588134598
2021-04-04,0,3.17422729982787e-05,0.00522088248189767,0.00459388789140153,0.00300913260630727,0.00188844691793352,0.00255203044085208,0.000193699926019368,0.000127274853552471,0.000707520491559644
2021-04-05,0,3.40062703460686e-05,0.0054893341683972,0.00483112770229613,0.00317700233319112,0.00200480418866474,0.00271426419393647,0.00021364521015731,0.000142651400207957,0.000776448220902892
2021-04-06,0,3.64084044489525e-05,0.00576650399623334,0.00507616075320405,0.00335146241393314,0.00212671891124997,0.00288468171110878,0.000235560918715457,0.000159846898835094,0.000851747748368559
2021-04-07,0,3.89571687440373e-05,0.00605267833898213,0.00532924659995461,0.00353277449092154,0.00225445850580231,0.00306369692447133,0.000259641791638129,0.000179076490657343,0.000934007177359702
2021-04-08,0,4.16615787122989e-05,0.00634815249859834,0.00559065306150941,0.00372121031609677,0.00238830305358738,0.00325174424531601,0.000286101776158868,0.000200580724038201,0.00102386850811802
2021-04-09,0,4.45312039427169e-05,0.00665323095061698,0.00586065645634353,0.00391705211865067,0.00252854587587344,0.00344927952924816,0.000315175913098115,0.00022462854510564,0.00112203250277956
2021-04-10,0,4.75762021628888e-05,0.00696822759373454,0.00613954184368463,0.00412059298418839,0.00267549413718348,0.00365678108170199,0.000347122406721969,0.000251520637931229,0.00122926397516991
2021-04-11,0,5.08073553563563e-05,0.00729346600366526,0.00642760326956355,0.00433213724554516,0.00282946947376771,0.003874750704984,0.000382224895673998,0.0002815931545023,0.00134639753961024
2021-04-12,0,5.42361080941851e-05,0.00762927969114981,0.00672514401761544,0.00455200088543692,0.00299080864811919,0.004103714787947,0.000420794944089429,0.00031522187920167,0.00147434385521196
2021-04-13,0,5.78746082160744e-05,0.00797601236397298,0.0070324768645548,0.00478051195110914,0.00315986423035761,0.00434422543935287,0.000463174773728531,0.000352826877443828,0.00161409640436862
2021-04-14,0,6.17357500044868e-05,0.00833401819282638,0.00734992434023032,0.00501801098113079,0.00333700530730378,0.00459686166592635,0.000509740259830923,0.000394877683545848,0.00176673884637869
2021-04-15,0,6.58332200039768e-05,0.00870366208082836,0.00767781899214728,0.00526485144446102,0.00352261822006259,0.00486223059603356,0.000560904215401571,0.000441899088872044,0.00193345298931338
2021-04-16,0,7.01815456471157e-05,0.00908531993648939,0.00801650365432511,0.00552140019189406,0.00371710733092149,0.00514096874983527,0.000617119990798554,0.000494477597819303,0.00211552742533196
2021-04-17,0,7.47961468581695e-05,0.00947937894988442,0.00836633172033643,0.00578803791996283,0.00392089582035718,0.00543374335666595,0.000678885417807238,0.00055326862633822,0.00231436687658233
2021-04-18,0,7.96933908160316e-05,0.00988623787176564,0.00872766742035074,0.00606515964735422,0.00413442651492243,0.00574125372027227,0.000746747129859068,0.000619004525442625,0.00253150230053385
2021-04-19,0,8.48906500688635e-05,0.0103063072953192,0.00910088610198133,0.00635317520385746,0.0043581627467585,0.00606423263240788,0.00082130529268727,0.000692503520569219,0.00276860180498183
2021-04-20,0,9.04063642045004e-05,0.0107400099402375,0.00948637451470745,0.00665250973183288,0.00459258924544471,0.0064034478351227,0.000903218782505571,0.000774679666722378,0.00302748242392976
2021-04-21,0,9.62601052929648e-05,0.0111877809387439,0.00988453109761546,0.00696360420014972,0.00483821306285591,0.00675970353190241,0.000993210851745216,0.000866553929075501,0.00331012280596572
2021-04-22,0,0.000102472647330439,0.0116500681231719,0.0102957662701725,0.00728691593049923,0.00509556453164823,0.00713384194760501,0.00109207532548156,0.000969266509079675,0.00361867686644619
2021-04-23,0,0.000109066039927816,0.0121273323146619,0.0107205027257136,0.00762291913594299,0.00536519825793448,0.00752674493690365,0.00120068337491027,0.00108409054710748,0.00395548845359971
2021-04-24,0,0.000116063686501529,0.0126200476124956,0.0111591757272896,0.00797210547150443,0.00564769414864064,0.00793933564067597,0.00131999091757388,0.00121244734415599,0.00432310707634499
2021-04-25,0,0.00012349042723977,0.0131287016835512,0.0116122334054855,0.00833498459655593,0.00594365847395348,0.00837258018947683,0.00145104669746289,0.00135592325702646,0.00472430473792985
2021-04-26,0,0.000131372627133555,0.0136537960513084,0.0120801370577803,0.00871208474869161,0.0062537249651754,0.00882748945289085,0.00159500110158181,0.00151628843351191,0.00516209391414212
2021-04-27,0,0.00013973826937931,0.0141958463837926,0.012563361448979,0.00910395332870926,0.00657855594819453,0.00930512083317995,0.00175311577302767,0.00169551756620899,0.00563974670748097
